종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
101360,에코앤드림,KOSDAQ,우량기업부,23950,2600,12.18,22650,24500,22250,298993,7011769300,2.73396E+11,11415283
128540,에코캡,KOSDAQ,벤처기업부,2840,55,1.97,2790,2850,2775,59260,167745090,75800906400,26690460
086520,에코프로,KOSDAQ,우량기업부,828000,191000,29.98,732000,828000,712000,1152482,8.96144E+11,2.20477E+13,26627668
247540,에코프로비엠,KOSDAQ GLOBAL,우량기업부,299000,69000,30,270500,299000,260500,3965384,1.12328E+12,2.92426E+13,97801344
383310,에코프로에이치엔,KOSDAQ,중견기업부,79300,17700,28.73,68200,79900,65800,2278666,1.69794E+11,1.21368E+12,15304932
038110,에코플라스틱,KOSDAQ,우량기업부,4900,70,1.45,4830,5070,4725,3286302,16132231265,1.6743E+11,34169370
073540,에프알텍,KOSDAQ,벤처기업부,2310,5,0.22,2305,2385,2285,20663,47618550,26334000000,11400000
064850,에프앤가이드,KOSDAQ,벤처기업부,6440,30,0.47,6380,6570,6380,5097,32825820,77795200000,12080000
036810,에프에스티,KOSDAQ,우량기업부,21800,650,3.07,21450,21900,21050,325460,6978131200,4.74298E+11,21756789
173940,에프엔씨엔터,KOSDAQ,중견기업부,5950,0,0,5950,5980,5900,4996,29683590,91515516050,15380759
083500,에프엔에스테크,KOSDAQ,벤처기업부,8640,170,2.01,8650,8710,8500,43945,378659480,73359838080,8490722
446440,에피바이오텍,KONEX,일반기업부,9680,-620,-6.02,10850,10850,9000,160,1529880,22239838720,2297504
054940,엑사이엔씨,KOSDAQ,중견기업부,940,-18,-1.88,960,967,920,908950,855571987,31183135120,33173548
043090,엑서지21,KOSDAQ,투자주의환기종목(소속부없음),589,6,1.03,583,604,572,193076,113944813,34825104446,59125814
950130,엑세스바이오,KOSDAQ,외국기업(소속부없음),8970,280,3.22,8800,8970,8700,267559,2374314560,3.2575E+11,36315527
205100,엑셈,KOSDAQ,벤처기업부,2160,5,0.23,2165,2190,2140,633579,1374619565,1.55441E+11,71963431
356680,엑스게이트,KOSDAQ,벤처기업부,5600,-90,-1.58,5780,5820,5470,2791999,15761914500,1.59564E+11,28493492
070300,엑스큐어,KOSDAQ,벤처기업부,2745,105,3.98,2655,2780,2655,20452,55991470,20219873130,7366074
317770,엑스페릭스,KOSDAQ,벤처기업부,3930,140,3.69,3820,3950,3800,460749,1793905795,89531711580,22781606
092870,엑시콘,KOSDAQ,우량기업부,14020,240,1.74,14150,14150,13600,94873,1315054510,1.521E+11,10848797
317870,엔바이오니아,KOSDAQ,기술성장기업부,15880,400,2.58,15530,15940,15510,28776,452799180,1.32507E+11,8344293
067570,엔브이에이치코리아,KOSDAQ,중견기업부,2700,75,2.86,2640,2700,2620,84248,224480370,1.13859E+11,42170000
236810,엔비티,KOSDAQ,기술성장기업부,5720,440,8.33,5330,5890,5320,362850,2053797080,97099436720,16975426
140610,엔솔바이오사이언스,KONEX,일반기업부,8410,-60,-0.71,8590,8800,8360,8273,69562590,91061915740,10827814
333620,엔시스,KOSDAQ,벤처기업부,10900,720,7.07,10270,10940,10260,35836,382859730,1.15064E+11,10556344
101400,엔시트론,KOSDAQ,중견기업부,613,-11,-1.76,623,640,612,237928,148127019,36281155312,59186224
036570,엔씨소프트,KOSPI,,259000,500,0.19,259000,259000,248000,207822,52843743000,5.68609E+12,21954022
238170,엔에스엠,KONEX,일반기업부,477,30,6.71,477,477,477,2,954,9909524268,20774684
224760,엔에스컴퍼니,KONEX,일반기업부,4380,-770,-14.95,4385,5860,4380,733,3218155,17255886000,3939700
380440,엔에이치스팩19호,KOSPI,,10140,0,0,10130,10160,10130,24277,246243810,1.04016E+11,10258000
391060,엔에이치스팩20호,KOSDAQ,SPAC(소속부없음),10000,0,0,0,0,0,0,0,51000000000,5100000
422040,엔에이치스팩23호,KOSDAQ,SPAC(소속부없음),2065,-30,-1.43,2065,2120,2065,10448,21740515,14785400000,7160000
437780,엔에이치스팩24호,KOSDAQ,SPAC(소속부없음),2065,-20,-0.96,2060,2200,2055,8404,17689390,10386950000,5030000
438580,엔에이치스팩25호,KOSDAQ,SPAC(소속부없음),2460,0,0,0,0,0,0,0,7429200000,3020000
439410,엔에이치스팩26호,KOSDAQ,SPAC(소속부없음),2020,5,0.25,2030,2030,2010,37567,75663920,17776000000,8800000
440820,엔에이치스팩27호,KOSDAQ,SPAC(소속부없음),2030,5,0.25,2035,2035,2010,29501,59325675,15834000000,7800000
450410,엔에이치스팩28호,KOSDAQ,SPAC(소속부없음),3795,140,3.83,3675,3925,3650,89099,338205050,14876400000,3920000
451700,엔에이치스팩29호,KOSDAQ,SPAC(소속부없음),1987,-8,-0.4,1999,1999,1987,13613,27067980,28513450000,14350000
265740,엔에프씨,KOSDAQ,중견기업부,8270,60,0.73,8260,8360,8180,18763,154755150,73865986000,8931800
354200,엔젠바이오,KOSDAQ,기술성장기업부,5380,170,3.26,5190,5390,5150,53684,283964610,69344041260,12889227
419080,엔젯,KOSDAQ,기술성장기업부,13000,650,5.26,12400,13180,12380,93015,1204633820,1.36732E+11,10517817
093510,엔지브이아이,KONEX,일반기업부,1691,0,0,0,0,0,0,0,10179820000,6020000
208860,엔지스테크널러지,KOSDAQ,투자주의환기종목(소속부없음),2205,0,0,0,0,0,0,0,25233717915,11443863
183490,엔지켐생명과학,KOSDAQ,기술성장기업부,1335,55,4.3,1281,1364,1278,246406,328894386,1.13563E+11,85065562
085310,엔케이,KOSPI,,984,2,0.2,983,991,971,254300,249496900,78703618368,79983352
182400,엔케이맥스,KOSDAQ,기술성장기업부,13480,1100,8.89,13000,13490,12670,760744,10011376870,5.5562E+11,41218131
348370,엔켐,KOSDAQ,벤처기업부,61300,8800,16.76,57600,61600,55300,788858,46026566600,9.97242E+11,16268221
058450,엔터파트너즈,KOSDAQ,중견기업부,437,6,1.39,431,455,431,152896,66798692,22790750002,52152746
069410,엔텔스,KOSDAQ,벤처기업부,4960,50,1.02,4910,4960,4860,90381,444776160,50814327040,10244824
